owner_id,title,location,price/guests,total_price/USD,cleaning_fee,service_fee,only_price,reviews,superhost,guests,bedrooms,beds,bathrooms,thismonth_bookings,nextmonth_bookings,date,datetime,accuracy,communication,cleanliness,locationq,checkin,value,url
24668865,"Modern House Close to Montañita and Olon, PETS OK",Santa Elena,316.0,1264,0,109,952,5,0,4,4,3,1,,,2019-06-23,2019-06-23 13:49:57,4.5,5.0,4.5,4.0,5.0,,https://www.airbnb.com/rooms/24668865?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315784_RsQxy03nsxioNTMV
20873659,Departamento Vacacional Completo Betania,Cuenca,132.17,793,0,68,598,Hosted by Rodrigo,0,6,6,5,1,,,2019-06-23,2019-06-23 13:50:11,,,,,,,https://www.airbnb.com/rooms/20873659?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315798_DI37GPvty8GlAfXS
35147426,Minimalist Home For 2 Overlooking the Ocean,Puerto López,319.0,638,0,55,481,Hosted by Felibeth,0,2,2,1,1,,,2019-06-23,2019-06-23 13:50:35,,,,,,,https://www.airbnb.com/rooms/35147426?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315822_6hwQFvIXs3i%2FO5IU
5132086,Beautiful Flatshare: Queen Bed (Room 2 of 3),Banos,165.5,331,0,28,250,40,0,2,2,1,1,,,2019-06-23,2019-06-23 13:50:59,4.5,5.0,4.5,4.5,5.0,,https://www.airbnb.com/rooms/5132086?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315846_xiygqTVofBgVRxqn
31832311,Joli appartement tout équipé à Montañita,Montañita,132.43,927,0,80,698,3,1,7,7,5,2,,,2019-06-23,2019-06-23 13:51:04,5.0,5.0,5.0,5.0,5.0,,https://www.airbnb.com/rooms/31832311?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315860_GVKz7LMHwlvvAWOO
21503384,Casa & Apt. surrounded by nature,Loja,75.33,226,0,19,171,12,0,3,3,2,1,,,2019-06-23,2019-06-23 13:51:18,5.0,5.0,4.5,5.0,5.0,,https://www.airbnb.com/rooms/21503384?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315865_CjUbTog%2FNYmNMjYo
30248238,Arriendo habitaciones en penthouse amoblado,Quito,405.0,405,0,35,305,Hosted by Ely,0,1,1,1,2,,,2019-06-23,2019-06-23 13:51:32,,,,,,,https://www.airbnb.com/rooms/30248238?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315879_VBeJtEKl%2B2E3RU%2Bj
31441146,Suite in front of the beach,Montañita,377.0,754,0,65,568,1,0,2,2,1,1,,,2019-06-23,2019-06-23 13:51:57,,,,,,,https://www.airbnb.com/rooms/31441146?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315903_SclSsC6q9%2FuPU0ti
31854888,Casa familiar,Riobamba,127.25,509,0,44,383,1,0,4,4,4,3,,,2019-06-23,2019-06-23 13:52:23,,,,,,,https://www.airbnb.com/rooms/31854888?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315930_sj%2F5uuJ%2BqSGAWGKz
35147426,Minimalist Home For 2 Overlooking the Ocean,Puerto López,319.0,638,0,55,481,Hosted by Felibeth,0,2,2,1,1,,,2019-06-23,2019-06-23 13:52:47,,,,,,,https://www.airbnb.com/rooms/35147426?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315954_YV39TaCfwjpWIqOM
5132086,Beautiful Flatshare: Queen Bed (Room 2 of 3),Banos,165.5,331,0,28,250,40,0,2,2,1,1,,,2019-06-23,2019-06-23 13:53:11,4.5,5.0,4.5,4.5,5.0,,https://www.airbnb.com/rooms/5132086?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315978_buN9q6Kp7XrEheTp
31832311,Joli appartement tout équipé à Montañita,Montañita,132.43,927,0,80,698,3,1,7,7,5,2,,,2019-06-23,2019-06-23 13:53:16,5.0,5.0,5.0,5.0,5.0,,https://www.airbnb.com/rooms/31832311?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315992_PZ%2BYwLqk6QBIrDtV
21503384,Casa & Apt. surrounded by nature,Loja,75.33,226,0,19,171,12,0,3,3,2,1,,,2019-06-23,2019-06-23 13:53:30,5.0,5.0,4.5,5.0,5.0,,https://www.airbnb.com/rooms/21503384?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315997_Ptxf6IWVvXUv6%2Fnm
30248238,Arriendo habitaciones en penthouse amoblado,Quito,405.0,405,0,35,305,Hosted by Ely,0,1,1,1,2,,,2019-06-23,2019-06-23 13:53:44,,,,,,,https://www.airbnb.com/rooms/30248238?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561316011_KaSK3S%2Bf5P8H4aNr
